"brand","top_speed_kmh","battery_capacity_kWh","torque_nm","efficiency_wh_per_km","range_km","acceleration_0_100_s","fast_charging_power_kw_dc","cargo_volume_l","drivetrain","segment","length_mm","width_mm","height_mm","car_body_type","log_acceleration_0_100_s","log_cargo_volume_l","log_fast_charging_power_kw_dc","log_top_speed_kmh","log_torque_nm"
"NIO",200,90,700,167,500,4,100,386,"AWD","E - Executive",4790,1960,1499,"Sedan",1.38629436111989,5.95583736946483,4.60517018598809,5.29831736654804,6.5510803350434
"NIO",200,73.5,700,175,410,4,110,386,"AWD","E - Executive",4790,1960,1499,"Sedan",1.38629436111989,5.95583736946483,4.70048036579242,5.29831736654804,6.5510803350434
"NIO",200,90,700,178,485,4,135,450,"AWD","E - Executive",4790,1960,1499,"Station/Estate",1.38629436111989,6.10924758276437,4.90527477843843,5.29831736654804,6.5510803350434
"NIO",200,73.5,700,169,400,4,110,450,"AWD","E - Executive",4790,1960,1499,"Station/Estate",1.38629436111989,6.10924758276437,4.70048036579242,5.29831736654804,6.5510803350434
"NIO",200,90,850,178,505,3.8,100,363,"AWD","F - Luxury",5101,1987,1509,"Sedan",1.33500106673234,5.89440283426485,4.60517018598809,5.29831736654804,6.74523634948436
"NIO",200,73.5,850,191,415,3.8,110,363,"AWD","F - Luxury",5101,1987,1509,"Sedan",1.33500106673234,5.89440283426485,4.70048036579242,5.29831736654804,6.74523634948436
"Nissan",160,63,300,175,335,7.5,90,468,"FWD","JC - Medium",4595,1850,1660,"SUV",2.01490302054226,6.14846829591765,4.49980967033027,5.07517381523383,5.7037824746562
"Nissan",160,87,300,169,450,7.6,110,468,"FWD","JC - Medium",4595,1850,1660,"SUV",2.02814824729229,6.14846829591765,4.70048036579242,5.07517381523383,5.7037824746562
"Nissan",200,87,600,190,405,5.7,110,415,"AWD","JC - Medium",4595,1850,1660,"SUV",1.7404661748405,6.0282785202307,4.70048036579242,5.29831736654804,6.39692965521615
"Nissan",200,87,600,209,385,5,110,415,"AWD","JC - Medium",4655,1850,1660,"SUV",1.6094379124341,6.0282785202307,4.70048036579242,5.29831736654804,6.39692965521615
"Nissan",132,45,245,158,225,12.6,50,819,"FWD","N - Passenger Van",4488,1860,1838,"Small Passenger Van",2.53369681395743,6.70808408385307,3.91202300542815,4.88280192258637,5.50125821054473
"Nissan",130,45,245,173,220,13.3,50,819,"FWD","N - Passenger Van",4911,1860,1815,"Small Passenger Van",2.58776403522771,6.70808408385307,3.91202300542815,4.86753445045558,5.50125821054473
"Omoda",172,61,340,152,345,7.6,60,380,"FWD","JC - Medium",4424,1830,1588,"SUV",2.02814824729229,5.94017125272043,4.0943445622221,5.14749447681345,5.82894561761021
"Opel",170,50.8,270,128,320,9.2,85,352,"FWD","C - Medium",4374,1860,1470,"Hatchback",2.21920348405499,5.8636311755981,4.44265125649032,5.13579843705026,5.59842195899838
"Opel",170,50.8,270,123,310,9.3,85,516,"FWD","C - Medium",4642,1860,1480,"Station/Estate",2.23001440015921,6.24610676548156,4.44265125649032,5.13579843705026,5.59842195899838
"Opel",135,50,260,149,235,11.3,80,775,"FWD","N - Passenger Van",4410,1921,1812,"Small Passenger Van",2.42480272571829,6.65286302935335,4.38202663467388,4.90527477843843,5.56068163101553
"Opel",135,50,260,149,230,11.3,80,1050,"FWD","N - Passenger Van",4760,1921,1818,"Small Passenger Van",2.42480272571829,6.95654544315157,4.38202663467388,4.90527477843843,5.56068163101553
"Opel",150,46.3,260,131,290,8.7,78,267,"FWD","B - Compact",4061,1765,1435,"Hatchback",2.16332302566054,5.58724865840025,4.35670882668959,5.01063529409626,5.56068163101553
"Opel",150,48.1,260,120,315,8.1,80,267,"FWD","B - Compact",4061,1765,1435,"Hatchback",2.09186406167839,5.58724865840025,4.38202663467388,5.01063529409626,5.56068163101553
"Opel",140,44,120,144,245,12.1,60,460,"FWD","JB - Compact",4385,1795,1635,"SUV",2.4932054526027,6.13122648948314,4.0943445622221,4.9416424226093,4.78749174278205
"Opel",170,73,260,145,365,9,90,550,"FWD","JC - Medium",4650,1934,1665,"SUV",2.19722457733622,6.30991827822652,4.49980967033027,5.13579843705026,5.56068163101553
"Opel",170,82.2,260,146,410,9,100,550,"FWD","JC - Medium",4650,1934,1665,"SUV",2.19722457733622,6.30991827822652,4.60517018598809,5.13579843705026,5.56068163101553
"Opel",150,50.8,260,126,285,9,85,310,"FWD","JB - Compact",4151,1790,1534,"SUV",2.19722457733622,5.73657229747919,4.44265125649032,5.01063529409626,5.56068163101553
"Opel",130,46.3,270,217,180,13.3,78,603,"FWD","N - Passenger Van",4983,1920,1890,"Small Passenger Van",2.58776403522771,6.40191719672719,4.35670882668959,4.86753445045558,5.59842195899838
"Opel",130,68,270,202,260,14.2,79,603,"FWD","N - Passenger Van",4983,1920,1890,"Small Passenger Van",2.65324196460721,6.40191719672719,4.36944785246702,4.86753445045558,5.59842195899838
"Opel",130,46.3,270,219,180,13.3,78,989,"FWD","N - Passenger Van",5333,1920,1890,"Small Passenger Van",2.58776403522771,6.89669433162271,4.35670882668959,4.86753445045558,5.59842195899838
"Opel",130,68,260,204,260,14.2,79,989,"FWD","N - Passenger Van",5333,1920,1890,"Small Passenger Van",2.65324196460721,6.89669433162271,4.36944785246702,4.86753445045558,5.56068163101553
